db,native,term_name,pvalue,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents,term_id,fdr,intersection_genes
GO:BP,GO:0002294,"CD4-positive, alpha-beta T cell differentiation involved in immune response",1.0,False,"""The process in which an antigenically naive CD4-positive, alpha-beta T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."" [GOC:add, ISBN:0781735149]",83,10,1,21026,0.1,0.012048192771084338,query_1,"['GO:0002293', 'GO:0043367']",GO:0002294,,
GO:BP,GO:0002295,T-helper cell lineage commitment,1.0,False,"""The process in which a CD4-positive, alpha-beta T cell becomes committed to becoming a T-helper cell, a CD4-positive, alpha-beta T cell specialized to promote various immunological processes."" [GOC:add, ISBN:0781735149]",28,10,1,21026,0.1,0.03571428571428571,query_1,"['GO:0042093', 'GO:0043373']",GO:0002295,,
GO:BP,GO:0002296,T-helper 1 cell lineage commitment,1.0,False,"""The process in which a CD4-positive, alpha-beta T cell becomes committed to becoming a T-helper 1 cell, a CD4-positive, alpha-beta T cell specialized to promote immunological processes often associated with resistance to intracellular bacteria, fungi, and protozoa, and pathological conditions such as arthritis."" [GOC:add, ISBN:0781735149]",4,10,1,21026,0.1,0.25,query_1,"['GO:0002295', 'GO:0045063']",GO:0002296,,
GO:BP,GO:0002309,T cell proliferation involved in immune response,1.0,False,"""The expansion of a T cell population by cell division as part of an immune response."" [GOC:add, ISBN:0781735149]",4,10,1,21026,0.1,0.25,query_1,"['GO:0002286', 'GO:0042098']",GO:0002309,,
GO:BP,GO:0002326,B cell lineage commitment,1.0,False,"""The process in which a lymphoid progenitor cell becomes committed to become any type of B cell."" [GOC:add, ISBN:0781735149]",6,10,1,21026,0.1,0.16666666666666666,query_1,"['GO:0030183', 'GO:0045165']",GO:0002326,,
GO:BP,GO:0002363,alpha-beta T cell lineage commitment,1.0,False,"""The process in which a pro-T cell becomes committed to becoming an alpha-beta T cell."" [GOC:add, ISBN:0781735149]",33,10,1,21026,0.1,0.030303030303030304,query_1,"['GO:0002360', 'GO:0046632']",GO:0002363,,
GO:BP,GO:0002244,hematopoietic progenitor cell differentiation,1.0,False,"""The process in which precursor cell type acquires the specialized features of a hematopoietic progenitor cell, a class of cell types including myeloid progenitor cells and lymphoid progenitor cells."" [GOC:add, GOC:rl, ISBN:0781735149, PMID:16551251]",139,10,2,21026,0.2,0.014388489208633094,query_1,"['GO:0030097', 'GO:0030154']",GO:0002244,,
GO:BP,GO:0002237,response to molecule of bacterial origin,1.0,False,"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."" [GOC:rl, GOC:sm]",357,10,2,21026,0.2,0.0056022408963585435,query_1,"['GO:0009617', 'GO:0043207']",GO:0002237,,
GO:BP,GO:0002221,pattern recognition receptor signaling pathway,1.0,False,"""The series of molecular signals initiated by a ligand binding to a pattern recognition receptor (PRR), and ending with the regulation of a downstream cellular process, e.g. transcription. PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species, or damage-associated molecular pattern (DAMPs), endogenous molecules released from damaged cells."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967]",267,10,1,21026,0.1,0.003745318352059925,query_1,['GO:0002758'],GO:0002221,,
GO:BP,GO:0002218,activation of innate immune response,1.0,False,"""Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."" [GO_REF:0000022, GOC:add, GOC:mtg_sensu, ISBN:0781735149, PMID:15199967, PMID:16177805]",305,10,1,21026,0.1,0.003278688524590164,query_1,"['GO:0002253', 'GO:0045089']",GO:0002218,,
GO:BP,GO:0001942,hair follicle development,1.0,False,"""The process whose specific outcome is the progression of the hair follicle over time, from its formation to the mature structure. A hair follicle is a tube-like opening in the epidermis where the hair shaft develops and into which the sebaceous glands open."" [GOC:dph, UBERON:0002073]",99,10,1,21026,0.1,0.010101010101010102,query_1,"['GO:0022405', 'GO:0048856', 'GO:0098773']",GO:0001942,,
GO:BP,GO:0001945,lymph vessel development,1.0,False,"""The process whose specific outcome is the progression of a lymph vessel over time, from its formation to the mature structure."" [GOC:dph, UBERON:0001473]",30,10,1,21026,0.1,0.03333333333333333,query_1,"['GO:0001944', 'GO:0048856']",GO:0001945,,
GO:BP,GO:0001946,lymphangiogenesis,1.0,False,"""Lymph vessel formation when new vessels emerge from the proliferation of pre-existing vessels."" [GOC:dph, PMID:11596157]",18,10,1,21026,0.1,0.05555555555555555,query_1,"['GO:0009653', 'GO:0036303', 'GO:0048646']",GO:0001946,,
GO:BP,GO:0001952,regulation of cell-matrix adhesion,1.0,False,"""Any process that modulates the frequency, rate or extent of attachment of a cell to the extracellular matrix."" [GOC:hjd]",122,10,2,21026,0.2,0.01639344262295082,query_1,"['GO:0007160', 'GO:0010810']",GO:0001952,,
GO:BP,GO:0001953,negative regulation of cell-matrix adhesion,1.0,False,"""Any process that stops, prevents, or reduces the rate or extent of cell adhesion to the extracellular matrix."" [GOC:hjd]",36,10,1,21026,0.1,0.027777777777777776,query_1,"['GO:0001952', 'GO:0007160', 'GO:0010812']",GO:0001953,,
GO:BP,GO:0001954,positive regulation of cell-matrix adhesion,1.0,False,"""Any process that activates or increases the rate or extent of cell adhesion to an extracellular matrix."" [GOC:hjd]",57,10,1,21026,0.1,0.017543859649122806,query_1,"['GO:0001952', 'GO:0007160', 'GO:0010811']",GO:0001954,,
GO:BP,GO:0001964,startle response,1.0,False,"""An action or movement due to the application of a sudden unexpected stimulus."" [GOC:dph]",30,10,1,21026,0.1,0.03333333333333333,query_1,"['GO:0009605', 'GO:0050905']",GO:0001964,,
GO:BP,GO:0002028,regulation of sodium ion transport,1.0,False,"""Any process that modulates the frequency, rate or extent of the directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph]",69,10,1,21026,0.1,0.014492753623188406,query_1,"['GO:0006814', 'GO:0010959']",GO:0002028,,
GO:BP,GO:0002366,leukocyte activation involved in immune response,1.0,False,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."" [GOC:add, ISBN:0781735149]",316,10,2,21026,0.2,0.006329113924050633,query_1,"['GO:0002263', 'GO:0045321']",GO:0002366,,
GO:BP,GO:0002040,sprouting angiogenesis,1.0,False,"""The extension of new blood vessels from existing vessels into avascular tissues, this process includes the specialization of endothelial cells into leading tip and stalk cells, proliferation and migration of the endothelial cells and cell adhesion resulting in angiogenic sprout fusion or lumen formation."" [PMID:16391003, PMID:23031691]",132,10,2,21026,0.2,0.015151515151515152,query_1,['GO:0001525'],GO:0002040,,
GO:BP,GO:0002052,positive regulation of neuroblast proliferation,1.0,False,"""Any process that activates or increases the rate of neuroblast proliferation."" [GOC:dph]",37,10,1,21026,0.1,0.02702702702702703,query_1,"['GO:0007405', 'GO:0050769', 'GO:1902692', 'GO:2000179']",GO:0002052,,
GO:BP,GO:0002053,positive regulation of mesenchymal cell proliferation,1.0,False,"""The process of activating or increasing the rate or extent of mesenchymal cell proliferation. Mesenchymal cells are loosely organized embryonic cells."" [GOC:dph]",27,10,1,21026,0.1,0.037037037037037035,query_1,"['GO:0008284', 'GO:0010463', 'GO:0010464']",GO:0002053,,
GO:BP,GO:0002064,epithelial cell development,1.0,False,"""The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface."" [GOC:dph]",219,10,2,21026,0.2,0.0091324200913242,query_1,"['GO:0030855', 'GO:0048468']",GO:0002064,,
GO:BP,GO:0002070,epithelial cell maturation,1.0,False,"""The developmental process, independent of morphogenetic (shape) change, that is required for an epithelial cell to attain its fully functional state. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface."" [GOC:dph]",27,10,1,21026,0.1,0.037037037037037035,query_1,"['GO:0002064', 'GO:0048469']",GO:0002070,,
GO:BP,GO:0002090,regulation of receptor internalization,1.0,False,"""Any process that modulates the frequency, rate or extent of receptor internalization."" [GOC:hjd]",72,10,1,21026,0.1,0.013888888888888888,query_1,"['GO:0031623', 'GO:0048259']",GO:0002090,,
GO:BP,GO:0002092,positive regulation of receptor internalization,1.0,False,"""Any process that activates or increases the frequency, rate or extent of receptor internalization."" [GOC:hjd]",27,10,1,21026,0.1,0.037037037037037035,query_1,"['GO:0002090', 'GO:0031623', 'GO:0048260']",GO:0002092,,
GO:BP,GO:0002181,cytoplasmic translation,1.0,False,"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",165,10,1,21026,0.1,0.006060606060606061,query_1,['GO:0006412'],GO:0002181,,
GO:BP,GO:0002183,cytoplasmic translational initiation,1.0,False,"""The process preceding formation of the peptide bond between the first two amino acids of a protein in the cytoplasm. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."" [GOC:hjd]",46,10,1,21026,0.1,0.021739130434782608,query_1,"['GO:0002181', 'GO:0006413']",GO:0002183,,
GO:BP,GO:0002043,blood vessel endothelial cell proliferation involved in sprouting angiogenesis,1.0,False,"""The multiplication or reproduction of blood vessel endothelial cells, resulting in the expansion of a cell population contributing to sprouting angiogenesis."" [GOC:dph, GOC:tb, PMID:16391003]",24,10,1,21026,0.1,0.041666666666666664,query_1,"['GO:0001935', 'GO:0002040']",GO:0002043,,
GO:BP,GO:0007009,plasma membrane organization,1.0,False,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the plasma membrane."" [GOC:dph, GOC:jl, GOC:mah]",172,10,2,21026,0.2,0.011627906976744186,query_1,"['GO:0010256', 'GO:0061024']",GO:0007009,,
GO:BP,GO:0002429,immune response-activating cell surface receptor signaling pathway,1.0,False,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of a cell, leading to the activation or perpetuation of an immune response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",310,10,1,21026,0.1,0.0032258064516129032,query_1,"['GO:0002757', 'GO:0002768']",GO:0002429,,
GO:BP,GO:0002520,immune system development,1.0,False,"""The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:add, GOC:dph]",203,10,2,21026,0.2,0.009852216748768473,query_1,"['GO:0002376', 'GO:0048731']",GO:0002520,,
GO:BP,GO:0003002,regionalization,1.0,False,"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]",433,10,1,21026,0.1,0.0023094688221709007,query_1,['GO:0007389'],GO:0003002,,
GO:BP,GO:0003006,developmental process involved in reproduction,1.0,False,"""A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring."" [GOC:dph, GOC:isa_complete]",1038,10,3,21026,0.3,0.002890173410404624,query_1,"['GO:0022414', 'GO:0032502']",GO:0003006,,
GO:BP,GO:0003012,muscle system process,1.0,False,"""An organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."" [GOC:mtg_cardio]",438,10,1,21026,0.1,0.00228310502283105,query_1,['GO:0003008'],GO:0003012,,
GO:BP,GO:0003013,circulatory system process,1.0,False,"""An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]",602,10,3,21026,0.3,0.0049833887043189366,query_1,['GO:0003008'],GO:0003013,,
GO:BP,GO:0003015,heart process,1.0,False,"""A circulatory system process carried out by the heart. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:mtg_cardio]",253,10,1,21026,0.1,0.003952569169960474,query_1,['GO:0003013'],GO:0003015,,
GO:BP,GO:0003018,vascular process in circulatory system,1.0,False,"""A circulatory process that occurs at the level of the vasculature."" [GOC:mtg_cardio]",272,10,2,21026,0.2,0.007352941176470588,query_1,['GO:0003013'],GO:0003018,,
GO:BP,GO:0003151,outflow tract morphogenesis,1.0,False,"""The process in which the anatomical structures of the outflow tract are generated and organized. The outflow tract is the portion of the heart through which blood flows into the arteries."" [GOC:mtg_heart, UBERON:0004145]",77,10,1,21026,0.1,0.012987012987012988,query_1,"['GO:0003007', 'GO:0009653']",GO:0003151,,
GO:BP,GO:0003158,endothelium development,1.0,False,"""The process whose specific outcome is the progression of an endothelium over time, from its formation to the mature structure. Endothelium refers to the layer of cells lining blood vessels, lymphatics, the heart, and serous cavities, and is derived from bone marrow or mesoderm. Corneal endothelium is a special case, derived from neural crest cells."" [GOC:mtg_heart]",138,10,1,21026,0.1,0.007246376811594203,query_1,['GO:0060429'],GO:0003158,,
GO:BP,GO:0003169,coronary vein morphogenesis,1.0,False,"""The process in which the anatomical structures of veins of the heart are generated and organized."" [GOC:mtg_heart]",2,10,1,21026,0.1,0.5,query_1,"['GO:0048845', 'GO:0060977']",GO:0003169,,
GO:BP,GO:0003170,heart valve development,1.0,False,"""The progression of a heart valve over time, from its formation to the mature structure. A heart valve is a structure that restricts the flow of blood to different regions of the heart and forms from an endocardial cushion."" [GOC:mtg_heart]",75,10,1,21026,0.1,0.013333333333333334,query_1,"['GO:0007507', 'GO:0048856']",GO:0003170,,
GO:BP,GO:0003179,heart valve morphogenesis,1.0,False,"""The process in which the structure of a heart valve is generated and organized."" [GOC:mtg_heart]",62,10,1,21026,0.1,0.016129032258064516,query_1,"['GO:0003170', 'GO:0009653']",GO:0003179,,
GO:BP,GO:0003205,cardiac chamber development,1.0,False,"""The progression of a cardiac chamber over time, from its formation to the mature structure. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]",169,10,1,21026,0.1,0.005917159763313609,query_1,"['GO:0007507', 'GO:0048856']",GO:0003205,,
GO:BP,GO:0003206,cardiac chamber morphogenesis,1.0,False,"""The process in which a cardiac chamber is generated and organized. A cardiac chamber is an enclosed cavity within the heart."" [GOC:mtg_heart]",124,10,1,21026,0.1,0.008064516129032258,query_1,"['GO:0003007', 'GO:0003205', 'GO:0009653']",GO:0003206,,
GO:BP,GO:0003279,cardiac septum development,1.0,False,"""The progression of a cardiac septum over time, from its initial formation to the mature structure."" [GOC:mtg_heart]",108,10,1,21026,0.1,0.009259259259259259,query_1,"['GO:0003205', 'GO:0048856']",GO:0003279,,
GO:BP,GO:0003309,type B pancreatic cell differentiation,1.0,False,"""The process in which relatively unspecialized cells acquire specialized structural and/or functional features of a type B pancreatic cell. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin."" [CL:0000169, GOC:dph, PMID:11076772]",30,10,1,21026,0.1,0.03333333333333333,query_1,"['GO:0031018', 'GO:0035883']",GO:0003309,,
GO:BP,GO:0003323,type B pancreatic cell development,1.0,False,"""The process whose specific outcome is the progression of a type B pancreatic cell over time, from its formation to the mature structure. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin."" [CL:0000169, GOC:dph]",24,10,1,21026,0.1,0.041666666666666664,query_1,"['GO:0002064', 'GO:0003309']",GO:0003323,,
GO:BP,GO:0003376,sphingosine-1-phosphate receptor signaling pathway,1.0,False,"""A G protein-coupled receptor signaling pathway initiated by sphingosine-1-phosphate binding to its receptor on the surface of a cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ascb_2009, GOC:signaling, PMID:14592418, PMID:22001186]",16,10,1,21026,0.1,0.0625,query_1,"['GO:0007186', 'GO:0090520']",GO:0003376,,
GO:BP,GO:0002931,response to ischemia,1.0,False,"""Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a inadequate blood supply."" [GOC:hjd]",65,10,1,21026,0.1,0.015384615384615385,query_1,['GO:0006950'],GO:0002931,,
GO:BP,GO:0002833,positive regulation of response to biotic stimulus,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]",400,10,1,21026,0.1,0.0025,query_1,"['GO:0002831', 'GO:0009607', 'GO:0048584']",GO:0002833,,
GO:BP,GO:0002831,regulation of response to biotic stimulus,1.0,False,"""Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]",540,10,1,21026,0.1,0.001851851851851852,query_1,"['GO:0009607', 'GO:0048583']",GO:0002831,,
GO:BP,GO:0002793,positive regulation of peptide secretion,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of peptide secretion."" [GOC:add]",117,10,1,21026,0.1,0.008547008547008548,query_1,"['GO:0002790', 'GO:0002791', 'GO:0051047']",GO:0002793,,
GO:BP,GO:0002551,mast cell chemotaxis,1.0,False,"""The movement of a mast cell in response to an external stimulus."" [GOC:add, PMID:11292027, PMID:12789214, PMID:16448392]",12,10,1,21026,0.1,0.08333333333333333,query_1,"['GO:0030595', 'GO:0097531']",GO:0002551,,
GO:BP,GO:0002683,negative regulation of immune system process,1.0,False,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of an immune system process."" [GOC:add]",515,10,2,21026,0.2,0.003883495145631068,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048519']",GO:0002683,,
GO:BP,GO:0002684,positive regulation of immune system process,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1099,10,4,21026,0.4,0.003639672429481347,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']",GO:0002684,,
GO:BP,GO:0002686,negative regulation of leukocyte migration,1.0,False,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of leukocyte migration."" [GOC:add]",51,10,1,21026,0.1,0.0196078431372549,query_1,"['GO:0002683', 'GO:0002685', 'GO:0030336', 'GO:0050900']",GO:0002686,,
GO:BP,GO:0002687,positive regulation of leukocyte migration,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of leukocyte migration."" [GOC:add]",155,10,2,21026,0.2,0.012903225806451613,query_1,"['GO:0002684', 'GO:0002685', 'GO:0030335', 'GO:0050900']",GO:0002687,,
GO:BP,GO:0002688,regulation of leukocyte chemotaxis,1.0,False,"""Any process that modulates the frequency, rate, or extent of leukocyte chemotaxis."" [GOC:add]",124,10,2,21026,0.2,0.016129032258064516,query_1,"['GO:0002685', 'GO:0030595', 'GO:0050920']",GO:0002688,,
GO:BP,GO:0002690,positive regulation of leukocyte chemotaxis,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of leukocyte chemotaxis."" [GOC:add]",96,10,2,21026,0.2,0.020833333333333332,query_1,"['GO:0002687', 'GO:0002688', 'GO:0030595', 'GO:0050921']",GO:0002690,,
GO:BP,GO:0002694,regulation of leukocyte activation,1.0,False,"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]",576,10,2,21026,0.2,0.003472222222222222,query_1,"['GO:0002682', 'GO:0045321', 'GO:0050865']",GO:0002694,,
GO:BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,1.0,False,"""An immune response mediated by lymphocytes expressing specific receptors for antigen produced through a somatic diversification process that includes somatic recombination of germline gene segments encoding immunoglobulin superfamily domains. Recombined receptors for antigen encoded by immunoglobulin superfamily domains include T cell receptors and immunoglobulins (antibodies) produced by B cells. The first encounter with antigen elicits a primary immune response that is slow and not of great magnitude. T and B cells selected by antigen become activated and undergo clonal expansion. A fraction of antigen-reactive T and B cells become memory cells, whereas others differentiate into effector cells. The memory cells generated during the primary response enable a much faster and stronger secondary immune response upon subsequent exposures to the same antigen (immunological memory). An example of this is the adaptive immune response found in Mus musculus."" [GOC:add, GOC:mtg_sensu, ISBN:0781735149, ISBN:1405196831]",394,10,1,21026,0.1,0.0025380710659898475,query_1,['GO:0002250'],GO:0002460,,
GO:BP,GO:0002696,positive regulation of leukocyte activation,1.0,False,"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]",363,10,2,21026,0.2,0.005509641873278237,query_1,"['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']",GO:0002696,,
GO:BP,GO:0002757,immune response-activating signaling pathway,1.0,False,"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response."" [GOC:add]",494,10,2,21026,0.2,0.004048582995951417,query_1,"['GO:0002253', 'GO:0002764']",GO:0002757,,
GO:BP,GO:0002758,innate immune response-activating signaling pathway,1.0,False,"""The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an innate immune response."" [GOC:jy, GOC:mah, PMID:11418339, PMID:28105028]",284,10,1,21026,0.1,0.0035211267605633804,query_1,"['GO:0002218', 'GO:0002757']",GO:0002758,,
GO:BP,GO:0002761,regulation of myeloid leukocyte differentiation,1.0,False,"""Any process that modulates the frequency, rate, or extent of myeloid leukocyte differentiation."" [GOC:add]",125,10,2,21026,0.2,0.016,query_1,"['GO:0002573', 'GO:0045637', 'GO:1902105']",GO:0002761,,
GO:BP,GO:0002762,negative regulation of myeloid leukocyte differentiation,1.0,False,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of myeloid leukocyte differentiation."" [GOC:add]",52,10,1,21026,0.1,0.019230769230769232,query_1,"['GO:0002573', 'GO:0002761', 'GO:0045638', 'GO:1902106']",GO:0002762,,
GO:BP,GO:0002764,immune response-regulating signaling pathway,1.0,False,"""The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]",540,10,2,21026,0.2,0.003703703703703704,query_1,"['GO:0007165', 'GO:0050776']",GO:0002764,,
GO:BP,GO:0002768,immune response-regulating cell surface receptor signaling pathway,1.0,False,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell capable of activating, perpetuating, or inhibiting an immune response."" [GOC:add, ISBN:0781735149, PMID:15771571]",341,10,1,21026,0.1,0.002932551319648094,query_1,"['GO:0002764', 'GO:0007166']",GO:0002768,,
GO:BP,GO:0002790,peptide secretion,1.0,False,"""The controlled release of a peptide from a cell or a tissue."" [GOC:add]",261,10,1,21026,0.1,0.0038314176245210726,query_1,"['GO:0015833', 'GO:0046903']",GO:0002790,,
GO:BP,GO:0002791,regulation of peptide secretion,1.0,False,"""Any process that modulates the frequency, rate, or extent of peptide secretion."" [GOC:add]",213,10,1,21026,0.1,0.004694835680751174,query_1,"['GO:0002790', 'GO:0051046', 'GO:0090087']",GO:0002791,,
GO:BP,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,1.0,False,"""The series of molecular signals initiated by the binding of a ligand from another organism to a cytoplasmic pattern recognition receptor (PRR). PRRs bind pathogen-associated molecular pattern (PAMPs), structures conserved among microbial species."" [GOC:add, GOC:ar, ISBN:0781735149, PMID:15199967, PMID:17328678, PMID:18272355, PMID:19531363, PMID:21187438]",174,10,1,21026,0.1,0.005747126436781609,query_1,"['GO:0002221', 'GO:0030522']",GO:0002753,,
GO:BP,GO:0007015,actin filament organization,1.0,False,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:mah]",461,10,1,21026,0.1,0.0021691973969631237,query_1,"['GO:0030036', 'GO:0097435']",GO:0007015,,
GO:BP,GO:0007017,microtubule-based process,1.0,False,"""Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."" [GOC:mah]",999,10,3,21026,0.3,0.003003003003003003,query_1,['GO:0009987'],GO:0007017,,
GO:BP,GO:0007030,Golgi organization,1.0,False,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the Golgi apparatus."" [GOC:dph, GOC:jl, GOC:mah]",153,10,1,21026,0.1,0.006535947712418301,query_1,"['GO:0006996', 'GO:0010256']",GO:0007030,,
GO:BP,GO:0009914,hormone transport,1.0,False,"""The directed movement of hormones into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:tb]",335,10,1,21026,0.1,0.0029850746268656717,query_1,"['GO:0006810', 'GO:0010817']",GO:0009914,,
GO:BP,GO:0009952,anterior/posterior pattern specification,1.0,False,"""The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism."" [GOC:dph, GOC:go_curators, GOC:isa_complete, GOC:tb]",225,10,1,21026,0.1,0.0044444444444444444,query_1,['GO:0003002'],GO:0009952,,
GO:BP,GO:0009987,cellular process,1.0,False,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",20247,10,10,21026,1.0,0.0004939003309132218,query_1,['GO:0008150'],GO:0009987,,
GO:BP,GO:0010165,response to X-ray,1.0,False,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz)."" [GOC:sm, Wikipedia:X-ray]",29,10,1,21026,0.1,0.034482758620689655,query_1,['GO:0010212'],GO:0010165,,
GO:BP,GO:0010225,response to UV-C,1.0,False,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-C radiation stimulus. UV-C radiation (UV-C light) spans the wavelengths 100 to 280 nm."" [GOC:tb]",13,10,1,21026,0.1,0.07692307692307693,query_1,['GO:0009411'],GO:0010225,,
GO:BP,GO:0010256,endomembrane system organization,1.0,False,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endomembrane system."" [GOC:mah, GOC:sm]",613,10,3,21026,0.3,0.004893964110929853,query_1,['GO:0016043'],GO:0010256,,
GO:BP,GO:0010389,regulation of G2/M transition of mitotic cell cycle,1.0,False,"""Any signaling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G2 phase to M phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle, PMID:17329565]",105,10,2,21026,0.2,0.01904761904761905,query_1,"['GO:0000086', 'GO:1901990', 'GO:1902749']",GO:0010389,,
GO:BP,GO:0010463,mesenchymal cell proliferation,1.0,False,"""The multiplication or reproduction of cells, resulting in the expansion of a mesenchymal cell population. A mesenchymal cell is a cell that normally gives rise to other cells that are organized as three-dimensional masses, rather than sheets."" [GOC:dph, GOC:tb]",47,10,1,21026,0.1,0.02127659574468085,query_1,['GO:0008283'],GO:0010463,,
GO:BP,GO:0010464,regulation of mesenchymal cell proliferation,1.0,False,"""Any process that modulates the frequency, rate or extent of mesenchymal cell proliferation. A mesenchymal cell is a cell that normally gives rise to other cells that are organized as three-dimensional masses, rather than sheets."" [GOC:dph, GOC:tb]",34,10,1,21026,0.1,0.029411764705882353,query_1,"['GO:0010463', 'GO:0042127']",GO:0010464,,
GO:BP,GO:0010466,negative regulation of peptidase activity,1.0,False,"""Any process that stops or reduces the rate of peptidase activity, the hydrolysis of peptide bonds within proteins."" [GOC:dph, GOC:tb]",35,10,1,21026,0.1,0.02857142857142857,query_1,"['GO:0045861', 'GO:0051346', 'GO:0052547']",GO:0010466,,
